pkType,cybersourceTransactionId,sourceId,merchantNumber,cardTypeCode,cardTypeDescription,cardTypeIndicator,cardNumber,last4AccountNumber,expirationDate,transactionCode,transactionDate,transactionTime,authorizationAmount,authorizationResponseCode,currency,foreignCardIndicator,transactionId,fileSource,referenceNumber,moto,pkFilter,id,version,cvvResult,avsCode,authorizationNumber,terminalId,binNumber,pointOfSale,keyedEntry,merchantInformationBinNumber,agentNumber,officeName,merchantName
cybersource:authorization,7628396897506034903813,88b02c35-cd3b-4d44-84a5-8d018ff9748e,salequicktest001,VI,Visa,credit card,xxxxxx1111,1111,Dec-31,ics_credit - Card Credit,20251111,5:41:29,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628396897506034903813,7628392275856932103813,FALSE,20251111,d2ba90cd-49d2-4438-8f4f-abbe12479eb5,20251110.1,,,,,,,,,,,
cybersource:authorization,7628390212076754003813,3b71705b-8c0b-4ef7-9439-9bf3941e4ddd,salequicktest001,MC,Mastercard,credit card,xxxxxx4444,4444,Dec-31,ics_credit - Card Credit,20251111,5:30:21,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC404634  ,API https://apitest.cybersource.com/tss/v2/transactions/7628390212076754003813,7628388155806733503813,FALSE,20251111,bd3cbc12-9efc-404b-b8ac-069ad8051e16,20251110.1,M - Card verification number matched.,Y,,,,,,,,,
cybersource:authorization,7628384814766041503812,099150e3-eaae-4ff3-b101-e64ae2ebedca,salequicktest001,MC,Mastercard,credit card,xxxxxx4444,4444,Dec-31,ics_auth_reversal - Card Full Authorization Reversal,20251111,5:21:21,1,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC321247  ,API https://apitest.cybersource.com/tss/v2/transactions/7628384814766041503812,7628384216826476803814,FALSE,20251111,c08141fc-6f89-474f-b29a-552428ab7eff,20251110.1,,,831000,,,,,,,,
cybersource:authorization,7628376570236872204604,f2a8b2a7-a909-4941-8d33-d545d182de96,crest_test001,VI,Visa,credit card,401704xxxxxx4265,4265,30-Nov,ics_auth - Card Authorization,20251111,5:07:37,0.04,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628376570236872204604,7628376570236872204604,FALSE,20251111,3746dc60-9e9e-4580-bb10-d9e7b5eedcc0,20251110.1,,Y,831000,10000015,401704,contactless,No,,,,
cybersource:authorization,7628383009546969504603,f5069aad-8c0c-44c5-b6c4-5f2a77974d3a,crest_test001,VI,Visa,credit card,xxxxxx4265,4265,30-Nov,ics_auth_reversal - Card Full Authorization Reversal,20251111,5:18:21,0.04,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628383009546969504603,7628376570236872204604,FALSE,20251111,eebfaca2-189f-4c02-add2-7d94eb8df55a,20251110.1,,,831000,10000015,,,,,,,
cybersource:authorization,7628373623496845404605,790ca158-394b-4a5e-84bf-8d5cea439a5e,crest_test001,VI,Visa,credit card,xxxxxx4265,4265,30-Nov,ics_auth_reversal - Card Full Authorization Reversal,20251111,5:02:42,1.04,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628373623496845404605,7628373184806787804604,FALSE,20251111,435908c4-0482-41c1-8ef5-7dda01d6d203,20251110.1,,,831000,10000015,,,,,,,
cybersource:authorization,7628382814046606903813,2b095394-dcf7-4c37-a77c-809e7b934839,salequicktest001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-31,ics_auth - Card Authorization,20251111,5:18:01,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628382814046606903813,7628382814046606903813,FALSE,20251111,61fda619-a410-4e3b-b70c-e0aea7cd2f8d,20251110.1,M - Card verification number matched.,Y,831000,,411111,,,,,,
cybersource:authorization,7628386259616522003814,c278086a-3e7f-403c-a635-fbffe2ba8cb9,salequicktest001,MC,Mastercard,credit card,555555xxxxxx4444,4444,Dec-31,ics_auth - Card Authorization,20251111,5:23:46,200,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC693673  ,API https://apitest.cybersource.com/tss/v2/transactions/7628386259616522003814,7628386259616522003814,FALSE,20251111,b1995220-2809-403f-b4a0-768142000792,20251110.1,M - Card verification number matched.,Y,831000,,555555,,,,,,
cybersource:authorization,7628401964456540103812,4eb0ef28-3eb4-412d-9d74-a560bf385954,paydalatest001,VI,Visa,credit card,400000xxxxxx1000,1000,Jan-27,ics_auth - Card Authorization,20251111,5:49:56,5,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628401964456540103812,7628401964456540103812,FALSE,20251111,9940198a-34ca-41d4-938b-c258cf34c94f,20251110.1,,Y,831000,,400000,,,,,,
cybersource:authorization,7628383005636015004606,82c7e514-2007-42fd-a4b6-8a12397ed4c9,crest_test001,,,,xxxxxx,,/,ics_void - Voided Transactions,20251111,5:18:20,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628383005636015004606,,FALSE,20251111,4d58de79-671f-467f-a454-49b15ff64cc5,20251110.1,,,,,,,,,,,
